PA,K%,BB%,ISO,Spd,LD%,GB%,FB%,IFFB%,HR/FB,Soft%,Med%,Hard%,Swing%,O-Swing%,Z-Swing%,O-Contact%,Z-Contact%,Def,HR,AVG,OBP,SLG,wOBA,wRC+,BsR,WAR
641,8.40%,16.20%,0.296,2.6,22.40%,40.20%,37.40%,11.70%,20.70%,15.50%,41.60%,42.90%,41.10%,24.90%,60.00%,78.60%,96.10%,-1,37,0.357,0.462,0.653,0.459,184,-0.2,8.7
348,17.80%,14.40%,0.274,1.9,22.00%,33.10%,44.90%,9.40%,17.00%,15.30%,39.40%,45.30%,45.60%,33.70%,60.80%,69.60%,88.10%,2.7,18,0.345,0.437,0.618,0.448,183,-1.2,4.9
700,9.10%,16.40%,0.331,4.1,15.60%,38.70%,45.70%,12.00%,20.10%,13.70%,45.70%,40.60%,42.20%,27.80%,60.60%,73.90%,94.60%,-8.8,47,0.327,0.443,0.658,0.447,180,1.6,8.4
432,19.70%,13.40%,0.312,2.8,19.60%,39.20%,41.30%,5.10%,25.40%,18.90%,46.20%,35.00%,40.10%,21.60%,57.90%,61.10%,78.70%,0.4,30,0.32,0.414,0.631,0.445,179,-2.8,5.4
475,17.90%,19.80%,0.23,2.3,30.20%,37.80%,32.00%,1.10%,15.10%,10.00%,50.50%,39.50%,37.80%,21.10%,57.30%,71.90%,83.90%,-2.1,14,0.337,0.474,0.567,0.438,178,-1.8,5.7
648,19.30%,14.00%,0.276,4.5,20.00%,45.20%,34.80%,0.00%,25.00%,11.10%,48.90%,40.00%,47.40%,29.80%,68.80%,67.50%,83.20%,-10.1,37,0.324,0.424,0.6,0.438,172,1.1,7
688,12.90%,15.70%,0.241,2.1,22.10%,44.10%,33.80%,5.50%,18.20%,18.20%,44.90%,36.90%,48.30%,28.90%,71.10%,71.40%,87.60%,-16.8,30,0.344,0.448,0.586,0.437,177,-5.5,6.5
648,14.70%,13.70%,0.294,2.8,18.90%,39.30%,41.70%,7.80%,19.80%,11.30%,44.10%,44.60%,48.80%,31.40%,70.50%,67.60%,85.20%,-16.4,38,0.328,0.42,0.622,0.431,171,-1.9,6
612,23.20%,16.80%,0.345,2.3,18.00%,37.50%,44.50%,8.20%,29.10%,12.30%,42.90%,44.80%,43.10%,25.10%,69.80%,53.50%,74.60%,-12.8,46,0.282,0.411,0.627,0.431,167,1.1,5.9
707,11.70%,19.00%,0.258,2.8,23.00%,39.00%,38.00%,0.50%,19.70%,10.40%,53.30%,36.30%,41.90%,19.00%,66.60%,75.40%,88.90%,-5.3,36,0.32,0.454,0.578,0.428,165,-9.6,6.6
695,19.40%,20.60%,0.228,3.7,25.00%,42.20%,32.80%,1.50%,21.60%,9.50%,52.20%,38.40%,37.30%,19.40%,58.20%,68.80%,83.10%,-9.3,29,0.314,0.459,0.541,0.427,174,-1.2,7.5
719,19.20%,15.30%,0.303,2.5,16.20%,40.70%,43.10%,5.50%,23.10%,11.90%,45.20%,42.90%,44.20%,28.20%,62.70%,62.40%,85.80%,-12.1,46,0.299,0.412,0.602,0.422,161,-5.7,5.9
673,29.60%,10.70%,0.348,3.1,21.90%,32.40%,45.70%,3.90%,29.60%,12.20%,46.40%,41.30%,50.20%,35.50%,70.90%,53.20%,80.10%,-13.5,53,0.286,0.37,0.634,0.421,168,4.9,7
679,8.50%,14.60%,0.241,2,18.60%,42.10%,39.20%,7.40%,15.80%,13.60%,46.40%,40.00%,37.30%,23.70%,51.90%,77.20%,96.50%,13.1,32,0.327,0.429,0.568,0.419,155,-4.9,7.7
435,15.40%,13.30%,0.257,5.6,16.30%,37.00%,46.70%,9.30%,13.60%,16.00%,41.70%,42.30%,37.90%,20.70%,53.80%,74.30%,91.30%,-6.3,19,0.307,0.411,0.564,0.419,159,1.6,4.2
681,17.80%,13.20%,0.33,2.7,19.30%,34.90%,45.80%,8.10%,23.90%,15.40%,40.40%,44.30%,46.70%,33.90%,63.70%,60.40%,87.30%,-20,50,0.288,0.395,0.618,0.419,153,-1.1,4.7
700,10.90%,14.70%,0.284,3.9,17.20%,38.30%,44.50%,13.50%,18.30%,16.80%,40.80%,42.40%,42.40%,25.80%,60.70%,76.50%,89.30%,-10,42,0.312,0.414,0.596,0.419,164,0.9,6.8
544,19.50%,12.90%,0.245,3.3,21.70%,39.00%,39.30%,1.40%,17.50%,9.30%,54.10%,36.50%,47.00%,25.70%,71.90%,60.50%,83.70%,-10.4,25,0.322,0.414,0.567,0.418,155,2.1,4.6
695,21.70%,17.00%,0.249,4.6,23.40%,41.60%,35.00%,5.40%,22.30%,10.20%,48.50%,41.40%,39.40%,22.60%,58.30%,69.40%,81.10%,-6.9,33,0.321,0.435,0.57,0.418,163,3.1,7.3
212,21.70%,17.50%,0.359,3.4,23.80%,31.00%,45.20%,8.80%,31.60%,12.70%,41.30%,46.00%,38.40%,22.90%,57.80%,62.40%,90.50%,-2.8,18,0.259,0.396,0.618,0.417,158,2.1,2.2
665,16.20%,14.90%,0.255,5.6,18.50%,42.50%,39.00%,7.40%,16.60%,13.30%,51.40%,35.30%,46.20%,26.90%,71.10%,60.20%,85.10%,1.6,29,0.312,0.42,0.567,0.417,156,7.2,7.7
631,17.40%,11.40%,0.272,1.7,19.80%,35.10%,45.00%,7.50%,19.50%,15.50%,43.90%,40.50%,42.10%,25.20%,58.40%,60.80%,87.80%,-26,39,0.312,0.393,0.584,0.417,158,-5.2,3.5
205,14.60%,6.80%,0.247,5,24.20%,48.40%,27.30%,11.40%,22.70%,14.90%,54.70%,30.40%,51.00%,31.40%,69.50%,68.80%,86.30%,-5.2,10,0.332,0.376,0.579,0.414,150,0.5,1.4
511,16.00%,15.10%,0.196,1.9,25.20%,42.10%,32.70%,3.50%,15.80%,10.30%,49.60%,40.10%,46.30%,29.80%,66.80%,65.40%,85.90%,-9.2,18,0.338,0.44,0.534,0.413,164,-5.1,4.3
677,17.70%,16.00%,0.225,3.9,27.30%,43.00%,29.70%,0.00%,22.00%,11.90%,49.30%,38.70%,42.10%,23.50%,63.30%,79.60%,84.40%,-18.7,29,0.326,0.434,0.55,0.413,159,-2.7,5
588,21.30%,13.10%,0.242,4.1,21.10%,34.60%,44.30%,5.50%,16.50%,10.30%,53.80%,36.00%,38.20%,19.20%,56.00%,62.50%,89.10%,1.9,27,0.305,0.413,0.548,0.413,147,1.9,5.9
615,17.70%,12.40%,0.273,2.6,19.20%,35.10%,45.70%,4.60%,17.90%,11.50%,52.20%,36.30%,43.00%,25.10%,60.90%,64.30%,85.70%,-4.4,35,0.306,0.393,0.579,0.413,150,-0.9,5.2
622,21.10%,8.20%,0.264,2.9,23.30%,45.50%,31.20%,8.20%,26.90%,17.00%,46.60%,36.40%,54.40%,41.20%,72.60%,55.10%,86.50%,-14.4,36,0.317,0.383,0.581,0.411,167,-2.9,5.3
216,27.80%,10.20%,0.392,0.7,15.90%,38.10%,46.00%,10.30%,41.40%,17.80%,41.90%,40.30%,44.90%,27.90%,66.80%,59.40%,75.70%,-2.5,24,0.259,0.352,0.651,0.411,162,-1.8,2
692,15.30%,15.50%,0.267,1.9,19.80%,43.10%,37.10%,6.30%,21.80%,18.60%,47.30%,34.10%,44.00%,29.10%,62.50%,63.80%,90.30%,-17.3,38,0.299,0.415,0.566,0.41,160,-7.6,4.7
685,13.60%,14.20%,0.244,2.2,20.70%,42.80%,36.50%,7.90%,18.50%,13.90%,47.10%,38.90%,39.20%,23.90%,57.90%,68.30%,91.50%,1.7,33,0.308,0.41,0.552,0.41,152,0.7,6.9
152,29.60%,11.20%,0.344,0.7,21.80%,27.60%,50.60%,2.30%,29.50%,18.40%,40.20%,41.40%,43.50%,27.40%,60.00%,50.60%,85.00%,-2,13,0.26,0.355,0.603,0.408,146,0.2,1.2
715,16.60%,10.30%,0.21,3,21.20%,46.70%,32.10%,5.50%,16.40%,18.40%,50.20%,31.40%,48.30%,34.70%,65.30%,70.80%,89.00%,-0.2,27,0.338,0.41,0.548,0.407,155,-10.7,6.1
575,19.50%,12.50%,0.257,2.1,19.80%,39.30%,40.90%,8.90%,19.10%,12.50%,41.40%,46.10%,39.70%,23.90%,57.80%,60.00%,87.00%,-10.7,30,0.306,0.4,0.563,0.407,146,2.5,4.4
