PA,K%,BB%,ISO,Spd,LD%,GB%,FB%,IFFB%,HR/FB,Soft%,Med%,Hard%,Swing% (pi),O-Swing% (pi),Z-Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Def,HR,AVG,OBP,SLG,wOBA,wRC+,BsR,WAR
432,19.70%,13.40%,0.312,2.8,19.60%,39.20%,41.30%,5.10%,25.40%,18.90%,46.20%,35.00%,40.10%,21.60%,57.90%,61.10%,78.70%,0.4,30,0.32,0.414,0.631,0.445,179,-2.8,5.4
606,10.40%,12.50%,0.222,3.1,22.60%,47.80%,29.50%,1.50%,20.40%,5.80%,56.60%,37.60%,36.70%,24.90%,50.00%,83.60%,90.50%,4.6,28,0.365,0.444,0.587,0.438,170,-2.1,7.6
229,24.90%,10.50%,0.358,2.2,16.40%,49.30%,34.20%,14.00%,40.00%,18.50%,39.70%,41.80%,44.90%,33.40%,59.50%,53.50%,83.70%,4.9,20,0.299,0.376,0.657,0.425,171,-1,3.2
589,16.60%,12.60%,0.206,3,22.10%,40.40%,37.50%,4.50%,13.00%,13.10%,49.60%,37.20%,40.20%,21.30%,61.40%,79.10%,92.50%,2.9,20,0.338,0.426,0.543,0.418,157,-7.4,5.6
610,15.70%,11.30%,0.213,2,24.60%,46.50%,28.90%,3.90%,18.80%,10.80%,57.60%,31.60%,41.80%,25.10%,58.80%,74.20%,89.90%,13,24,0.336,0.408,0.549,0.406,164,-4.6,7.7
192,21.90%,11.50%,0.196,1.6,29.40%,35.70%,34.90%,11.40%,18.20%,18.10%,50.40%,31.50%,45.80%,28.50%,64.00%,53.60%,89.80%,3.1,8,0.315,0.398,0.512,0.4,140,-1.8,1.7
274,25.50%,12.80%,0.313,4.5,16.70%,30.90%,52.50%,10.60%,23.50%,14.00%,53.10%,32.90%,42.00%,22.20%,61.50%,62.40%,76.70%,0.9,20,0.273,0.374,0.586,0.399,146,0.4,2.6
421,11.90%,6.90%,0.215,3.4,24.00%,43.40%,32.60%,5.70%,15.10%,15.30%,50.30%,34.40%,46.80%,28.90%,64.60%,69.40%,94.20%,10.5,16,0.325,0.394,0.54,0.398,152,0.3,5.2
407,22.60%,13.80%,0.24,2.4,21.40%,37.90%,40.70%,10.10%,18.20%,15.90%,45.70%,38.40%,43.60%,19.40%,66.70%,47.80%,81.00%,3.8,18,0.264,0.39,0.505,0.391,129,-0.5,3.1
387,21.40%,16.00%,0.217,1.1,24.40%,36.00%,39.70%,8.30%,17.70%,12.80%,44.60%,42.60%,37.20%,15.70%,57.10%,41.90%,84.50%,6.4,17,0.28,0.393,0.497,0.387,137,-3.7,3.3
151,25.80%,13.90%,0.234,0.9,21.60%,29.50%,48.90%,4.70%,16.30%,15.60%,56.70%,27.80%,45.30%,25.70%,65.40%,50.00%,84.90%,8,7,0.273,0.38,0.508,0.387,138,-0.4,2
440,23.40%,9.30%,0.26,1.6,22.90%,34.20%,43.00%,7.40%,20.50%,12.00%,49.30%,38.70%,47.20%,30.00%,66.80%,46.70%,85.40%,7.3,25,0.273,0.359,0.534,0.387,147,-2.2,4.5
262,16.40%,14.90%,0.197,4.9,25.70%,45.10%,29.10%,7.80%,15.70%,21.10%,48.00%,30.90%,36.20%,19.20%,52.50%,71.00%,92.70%,3.8,8,0.289,0.408,0.486,0.386,142,-1.6,2.5
